date,browser,visits
2016-08-06,Chrome,9308
2016-08-06,Safari,6754
2016-08-06,Internet Explorer,1875
2016-08-06,Firefox,1156
2016-08-06,Edge,311
2016-08-06,Safari (in-app),191
2016-08-07,Chrome,10290
2016-08-07,Safari,6840
2016-08-07,Internet Explorer,1918
2016-08-07,Firefox,1254
2016-08-07,Edge,396
2016-08-07,Safari (in-app),180
2016-08-08,Chrome,19958
2016-08-08,Internet Explorer,13144
2016-08-08,Safari,9444
2016-08-08,Firefox,3706
2016-08-08,Edge,702
2016-08-08,Safari (in-app),244
2016-08-08,Mozilla,146
2016-08-09,Chrome,20187
2016-08-09,Internet Explorer,13305
2016-08-09,Safari,9427
2016-08-09,Firefox,3587
2016-08-09,Edge,759
2016-08-09,Safari (in-app),241
2016-08-09,Mozilla,126
2016-08-10,Chrome,18391
2016-08-10,Internet Explorer,11453
2016-08-10,Safari,7706
2016-08-10,Firefox,3242
2016-08-10,Edge,625
2016-08-10,Safari (in-app),226
2016-08-10,Mozilla,149
2016-08-11,Chrome,20237
2016-08-11,Internet Explorer,11643
2016-08-11,Safari,7640
2016-08-11,Firefox,3231
2016-08-11,Edge,643
2016-08-11,Safari (in-app),257
2016-08-11,Mozilla,119
2016-08-12,Chrome,17464
2016-08-12,Internet Explorer,10898
2016-08-12,Safari,6919
2016-08-12,Firefox,2850
2016-08-12,Edge,505
2016-08-12,Safari (in-app),165
2016-08-13,Chrome,8565
2016-08-13,Safari,5285
2016-08-13,Internet Explorer,1784
2016-08-13,Firefox,1024
2016-08-13,Edge,301
2016-08-13,Safari (in-app),118
2016-08-14,Chrome,9027
2016-08-14,Safari,5598
2016-08-14,Internet Explorer,1703
2016-08-14,Firefox,1089
2016-08-14,Edge,283
2016-08-14,Safari (in-app),112
2016-08-15,Chrome,21485
2016-08-15,Internet Explorer,12114
2016-08-15,Safari,8991
2016-08-15,Firefox,3547
2016-08-15,Edge,659
2016-08-15,Safari (in-app),359
2016-08-15,Mozilla,135
2016-08-16,Chrome,20452
2016-08-16,Internet Explorer,11646
2016-08-16,Safari,8293
2016-08-16,Firefox,3525
2016-08-16,Edge,611
2016-08-16,Safari (in-app),361
2016-08-16,Mozilla,128
2016-08-17,Chrome,20238
2016-08-17,Internet Explorer,11058
2016-08-17,Safari,7602
2016-08-17,Firefox,3208
2016-08-17,Edge,617
2016-08-17,Safari (in-app),327
2016-08-18,Chrome,19903
2016-08-18,Internet Explorer,10857
2016-08-18,Safari,7866
2016-08-18,Firefox,3264
2016-08-18,Edge,620
2016-08-18,Safari (in-app),254
2016-08-18,Mozilla,108
2016-08-19,Chrome,18181
2016-08-19,Internet Explorer,10772
2016-08-19,Safari,7839
2016-08-19,Firefox,2895
2016-08-19,Edge,639
2016-08-19,Safari (in-app),264
2016-08-19,Mozilla,123
2016-08-19,Android Browser,114
2016-08-20,Chrome,9718
2016-08-20,Safari,6951
2016-08-20,Internet Explorer,1982
2016-08-20,Firefox,1224
2016-08-20,Edge,369
2016-08-20,Safari (in-app),204
2016-08-21,Chrome,10718
2016-08-21,Safari,7285
2016-08-21,Internet Explorer,2136
2016-08-21,Firefox,1330
2016-08-21,Edge,477
2016-08-21,Safari (in-app),139
2016-08-22,Chrome,22820
2016-08-22,Internet Explorer,13556
2016-08-22,Safari,9406
2016-08-22,Firefox,3879
2016-08-22,Edge,748
