date,mobile_device,visits
2016-08-06,iPad,1079
2016-08-06,iPhone,4871
2016-08-07,iPad,1080
2016-08-07,iPhone,4838
2016-08-08,iPad,1142
2016-08-08,iPhone,6362
2016-08-09,iPad,1179
2016-08-09,iPhone,6449
2016-08-10,iPhone,5130
2016-08-11,iPhone,5171
2016-08-12,iPhone,4602
2016-08-13,iPhone,3704
2016-08-14,iPhone,3766
2016-08-15,iPad,1035
2016-08-15,iPhone,6046
2016-08-16,iPad,1039
2016-08-16,iPhone,5430
2016-08-17,iPad,1023
2016-08-17,iPhone,5091
2016-08-18,iPhone,5296
2016-08-19,iPhone,5773
2016-08-20,iPad,1026
2016-08-20,iPhone,5282
2016-08-21,iPad,1146
2016-08-21,iPhone,5162
2016-08-22,iPad,1195
2016-08-22,iPhone,6094
2016-08-23,iPad,1256
2016-08-23,iPhone,8901
2016-08-24,iPad,1109
2016-08-24,iPhone,7152
2016-08-25,iPad,1183
2016-08-25,iPhone,8328
2016-08-26,iPad,1056
2016-08-26,iPhone,7712
2016-08-27,iPhone,5141
2016-08-28,iPad,1027
2016-08-28,iPhone,5438
2016-08-29,iPad,1282
2016-08-29,iPhone,7997
2016-08-30,iPad,1298
2016-08-30,iPhone,8850
2016-08-31,iPad,1437
2016-08-31,iPhone,10180
2016-09-01,iPad,1282
2016-09-01,iPhone,8393
2016-09-02,iPad,1201
2016-09-02,iPhone,7540
2016-09-03,iPad,1120
2016-09-03,iPhone,5536
2016-09-04,iPad,1012
2016-09-04,iPhone,4635
2016-09-05,iPad,1083
2016-09-05,iPhone,4555
2016-09-06,iPad,1126
2016-09-06,iPhone,5948
2016-09-07,iPad,1162
2016-09-07,iPhone,6040
2016-09-08,iPad,1017
2016-09-08,iPhone,5631
2016-09-09,iPad,1087
2016-09-09,iPhone,6021
2016-09-10,iPhone,4516
2016-09-11,iPhone,4005
2016-09-12,iPad,1077
2016-09-12,iPhone,5544
2016-09-13,iPad,1128
2016-09-13,iPhone,5553
2016-09-14,iPad,1087
2016-09-14,iPhone,5574
2016-09-15,iPad,1021
2016-09-15,iPhone,5240
2016-09-16,iPhone,4754
2016-09-17,iPad,1071
2016-09-17,iPhone,4980
2016-09-18,iPad,1115
2016-09-18,iPhone,4924
2016-09-19,iPad,1293
2016-09-19,iPhone,6913
2016-09-20,iPad,1106
2016-09-20,iPhone,6008
2016-09-21,iPad,1051
2016-09-21,iPhone,5757
2016-09-22,iPad,1182
2016-09-22,iPhone,6305
2016-09-23,iPad,1027
2016-09-23,iPhone,5797
2016-09-24,iPhone,4561
2016-09-25,iPhone,3916
2016-09-26,iPad,1132
2016-09-26,iPhone,6280
2016-09-27,iPad,1157
2016-09-27,iPhone,5856
2016-09-28,iPad,1100
2016-09-28,iPhone,5719
2016-09-29,iPad,1056
2016-09-29,iPhone,5353
2016-09-30,iPad,1006
2016-09-30,iPhone,4993
2016-10-01,iPad,1116
2016-10-01,iPhone,4745
2016-10-02,iPad,1147
2016-10-02,iPhone,5316
2016-10-03,iPad,1261
2016-10-03,iPhone,6170
2016-10-04,iPad,1234
2016-10-04,iPhone,6901
2016-10-05,iPad,1124
2016-10-05,iPhone,6135
2016-10-06,iPad,1276
2016-10-06,iPhone,7495
2016-10-07,iPad,1072
2016-10-07,iPhone,5893
2016-10-08,iPhone,4403
2016-10-09,iPhone,4476
2016-10-10,iPad,1104
2016-10-10,iPhone,5367
2016-10-11,iPad,1091
2016-10-11,iPhone,6015
2016-10-12,iPad,1412
2016-10-12,iPhone,7527
2016-10-13,iPad,1165
2016-10-13,iPhone,5930
2016-10-14,iPad,1095
2016-10-14,iPhone,5494
2016-10-15,iPad,1307
2016-10-15,iPhone,6910
2016-10-16,iPad,1668
2016-10-16,iPhone,8810
2016-10-17,iPad,1312
2016-10-17,iPhone,6983
2016-10-18,iPad,1240
2016-10-18,iPhone,6679
2016-10-19,iPad,1052
2016-10-19,iPhone,5744
2016-10-20,iPad,1131
2016-10-20,iPhone,5852
2016-10-21,iPad,1023
2016-10-21,iPhone,5301
2016-10-22,iPhone,4573
2016-10-23,iPad,1137
2016-10-23,iPhone,4500
2016-10-24,iPad,1323
2016-10-24,iPhone,6258
2016-10-25,iPad,1291
2016-10-25,iPhone,6818
2016-10-26,iPad,1146
2016-10-26,iPhone,6531
2016-10-27,iPad,1155
2016-10-27,iPhone,5809
2016-10-28,iPad,1086
2016-10-28,iPhone,5307
2016-10-29,iPad,1098
2016-10-29,iPhone,5577
2016-10-30,iPad,1380
2016-10-30,iPhone,5928
2016-10-31,iPad,1208
2016-10-31,iPhone,6217
2016-11-01,iPad,1257
2016-11-01,iPhone,6765
2016-11-02,iPad,1317
2016-11-02,iPhone,6962
2016-11-03,iPad,1129
2016-11-03,iPhone,6372
