date,device,visits
2016-08-06,desktop,11075
2016-08-06,mobile,7470
2016-08-06,tablet,1320
2016-08-07,desktop,12316
2016-08-07,mobile,7496
2016-08-07,tablet,1314
2016-08-08,desktop,36337
2016-08-08,mobile,9946
2016-08-08,tablet,1376
2016-08-09,desktop,36605
2016-08-09,mobile,9876
2016-08-09,tablet,1428
2016-08-10,desktop,32730
2016-08-10,mobile,8072
2016-08-10,tablet,1224
2016-08-11,desktop,34700
2016-08-11,mobile,8124
2016-08-11,tablet,1186
2016-08-12,desktop,30740
2016-08-12,mobile,7261
2016-08-12,tablet,1114
2016-08-13,desktop,10487
2016-08-13,mobile,5778
2016-08-13,tablet,1035
2016-08-14,desktop,11205
2016-08-14,mobile,5746
2016-08-14,tablet,1111
2016-08-15,desktop,36849
2016-08-15,mobile,9406
2016-08-15,tablet,1285
2016-08-16,desktop,35468
2016-08-16,mobile,8516
2016-08-16,tablet,1279
2016-08-17,desktop,34125
2016-08-17,mobile,8025
2016-08-17,tablet,1282
2016-08-18,desktop,33512
2016-08-18,mobile,8426
2016-08-18,tablet,1182
2016-08-19,desktop,30742
2016-08-19,mobile,9091
2016-08-19,tablet,1167
2016-08-20,desktop,11354
2016-08-20,mobile,8075
2016-08-20,tablet,1275
2016-08-21,desktop,13132
2016-08-21,mobile,7806
2016-08-21,tablet,1382
2016-08-22,desktop,39965
2016-08-22,mobile,9690
2016-08-22,tablet,1455
2016-08-23,desktop,39896
2016-08-23,mobile,14115
2016-08-23,tablet,1522
2016-08-24,desktop,36639
2016-08-24,mobile,11307
2016-08-24,tablet,1360
2016-08-25,desktop,36212
2016-08-25,mobile,13019
2016-08-25,tablet,1452
2016-08-26,desktop,32686
2016-08-26,mobile,12181
2016-08-26,tablet,1309
2016-08-27,desktop,11815
2016-08-27,mobile,8019
2016-08-27,tablet,1103
2016-08-28,desktop,12844
2016-08-28,mobile,8448
2016-08-28,tablet,1257
2016-08-29,desktop,39702
2016-08-29,mobile,13045
2016-08-29,tablet,1565
2016-08-30,desktop,40498
2016-08-30,mobile,14268
2016-08-30,tablet,1607
2016-08-31,desktop,40793
2016-08-31,mobile,16801
2016-08-31,tablet,1808
2016-09-01,desktop,37159
2016-09-01,mobile,13151
2016-09-01,tablet,1585
2016-09-02,desktop,32571
2016-09-02,mobile,11806
2016-09-02,tablet,1442
2016-09-03,desktop,12141
2016-09-03,mobile,8582
2016-09-03,tablet,1378
2016-09-04,desktop,11808
2016-09-04,mobile,7185
2016-09-04,tablet,1266
2016-09-05,desktop,14620
2016-09-05,mobile,7119
2016-09-05,tablet,1340
2016-09-06,desktop,41871
2016-09-06,mobile,9580
2016-09-06,tablet,1360
2016-09-07,desktop,38616
2016-09-07,mobile,9789
2016-09-07,tablet,1426
