date,browser_version,visits
2016-08-06,11.0,1623
2016-08-07,11.0,1618
2016-08-07,9.0,133
2016-08-08,11.0,10076
2016-08-08,7.0,1429
2016-08-08,9.0,1093
2016-08-08,10.0,416
2016-08-08,8.0,128
2016-08-09,11.0,10268
2016-08-09,7.0,1352
2016-08-09,9.0,1107
2016-08-09,10.0,434
2016-08-09,8.0,144
2016-08-10,11.0,8821
2016-08-10,7.0,1261
2016-08-10,9.0,889
2016-08-10,10.0,376
2016-08-10,8.0,104
2016-08-11,11.0,8945
2016-08-11,7.0,1318
2016-08-11,9.0,880
2016-08-11,10.0,384
2016-08-11,8.0,111
2016-08-12,11.0,8328
2016-08-12,7.0,1428
2016-08-12,9.0,746
2016-08-12,10.0,294
2016-08-12,8.0,101
2016-08-13,11.0,1483
2016-08-13,9.0,145
2016-08-14,11.0,1449
2016-08-14,9.0,106
2016-08-15,11.0,9420
2016-08-15,7.0,1380
2016-08-15,9.0,847
2016-08-15,10.0,348
2016-08-15,8.0,119
2016-08-16,11.0,8964
2016-08-16,7.0,1343
2016-08-16,9.0,910
2016-08-16,10.0,335
2016-08-17,11.0,8479
2016-08-17,7.0,1265
2016-08-17,9.0,881
2016-08-17,10.0,348
2016-08-18,11.0,8226
2016-08-18,7.0,1309
2016-08-18,9.0,805
2016-08-18,10.0,386
2016-08-18,8.0,129
2016-08-19,11.0,8199
2016-08-19,7.0,1425
2016-08-19,9.0,746
2016-08-19,10.0,308
2016-08-20,11.0,1687
2016-08-20,9.0,126
2016-08-21,11.0,1738
2016-08-21,9.0,200
2016-08-22,11.0,10486
2016-08-22,7.0,1370
2016-08-22,9.0,1107
2016-08-22,10.0,466
2016-08-22,8.0,125
2016-08-23,11.0,10148
2016-08-23,7.0,1293
2016-08-23,9.0,1198
2016-08-23,10.0,452
2016-08-23,8.0,130
2016-08-24,11.0,8889
2016-08-24,7.0,1584
2016-08-24,9.0,877
2016-08-24,10.0,352
2016-08-24,8.0,103
2016-08-25,11.0,9066
2016-08-25,7.0,1423
2016-08-25,9.0,836
2016-08-25,10.0,336
2016-08-25,8.0,119
2016-08-26,11.0,8564
2016-08-26,7.0,1376
2016-08-26,9.0,701
2016-08-26,10.0,272
2016-08-27,11.0,1585
2016-08-28,11.0,1568
2016-08-29,11.0,9502
2016-08-29,7.0,1381
2016-08-29,9.0,804
2016-08-29,10.0,335
2016-08-29,8.0,111
2016-08-30,11.0,9270
2016-08-30,7.0,1316
2016-08-30,9.0,754
2016-08-30,10.0,327
2016-08-30,8.0,101
2016-08-31,11.0,9078
2016-08-31,7.0,1272
2016-08-31,9.0,814
2016-08-31,10.0,359
2016-08-31,8.0,107
2016-09-01,11.0,8798
2016-09-01,7.0,1323
2016-09-01,9.0,755
2016-09-01,10.0,373
2016-09-02,11.0,8453
2016-09-02,7.0,1311
2016-09-02,9.0,730
2016-09-02,10.0,301
2016-09-03,11.0,1795
2016-09-03,9.0,168
2016-09-04,11.0,1536
2016-09-04,9.0,174
2016-09-05,11.0,1904
2016-09-05,9.0,119
2016-09-06,11.0,11011
2016-09-06,7.0,1334
2016-09-06,9.0,1075
2016-09-06,10.0,380
2016-09-06,8.0,135
2016-09-07,11.0,8900
2016-09-07,7.0,1361
2016-09-07,9.0,766
2016-09-07,10.0,351
2016-09-08,11.0,8809
2016-09-08,7.0,1279
2016-09-08,9.0,734
2016-09-08,10.0,392
2016-09-08,8.0,112
2016-09-09,11.0,8604
2016-09-09,7.0,1437
2016-09-09,9.0,656
2016-09-09,10.0,338
2016-09-10,11.0,1538
2016-09-11,11.0,1489
2016-09-12,11.0,9652
2016-09-12,7.0,1562
2016-09-12,9.0,710
