date,hour,visits
2016-10-30,00,799
2016-10-30,01,508
2016-10-30,02,440
2016-10-30,03,342
2016-10-30,04,360
2016-10-30,05,472
2016-10-30,06,535
2016-10-30,07,794
2016-10-30,08,1033
2016-10-30,09,1384
2016-10-30,10,1487
2016-10-30,11,1537
2016-10-30,12,1610
2016-10-30,13,1525
2016-10-30,14,1583
2016-10-30,15,1507
2016-10-30,16,1512
2016-10-30,17,1375
2016-10-30,18,1421
2016-10-30,19,1419
2016-10-30,20,1482
2016-10-30,21,1454
2016-10-30,22,1224
2016-10-30,23,938
2016-10-31,00,716
2016-10-31,01,428
2016-10-31,02,384
2016-10-31,03,346
2016-10-31,04,417
2016-10-31,05,612
2016-10-31,06,1001
2016-10-31,07,1942
2016-10-31,08,3665
2016-10-31,09,4413
2016-10-31,10,4529
2016-10-31,11,4444
2016-10-31,12,3333
2016-10-31,13,0
2016-10-31,14,0
2016-10-31,15,0
2016-10-31,16,0
2016-10-31,17,0
2016-10-31,18,0
2016-10-31,19,0
2016-10-31,20,0
2016-10-31,21,0
2016-10-31,22,0
2016-10-31,23,0
