date,browser,os,visits
2016-08-06,Safari,iOS,5544
2016-08-06,Chrome,Windows,4316
2016-08-06,Chrome,Android,2445
2016-08-06,Internet Explorer,Windows,1863
2016-08-06,Chrome,Macintosh,1731
2016-08-06,Safari,Macintosh,1141
2016-08-06,Firefox,Windows,811
2016-08-06,Chrome,Linux,346
2016-08-06,Edge,Windows,311
2016-08-06,Chrome,iOS,308
2016-08-06,Firefox,Macintosh,268
2016-08-06,Safari (in-app),iOS,191
2016-08-06,Chrome,Chrome OS,160
2016-08-07,Safari,iOS,5458
2016-08-07,Chrome,Windows,4818
2016-08-07,Chrome,Android,2548
2016-08-07,Chrome,Macintosh,2074
2016-08-07,Internet Explorer,Windows,1905
2016-08-07,Safari,Macintosh,1318
2016-08-07,Firefox,Windows,897
2016-08-07,Edge,Windows,395
2016-08-07,Chrome,Linux,356
2016-08-07,Chrome,iOS,321
2016-08-07,Firefox,Macintosh,284
2016-08-07,Safari (in-app),iOS,180
2016-08-07,Chrome,Chrome OS,173
2016-08-08,Internet Explorer,Windows,13132
2016-08-08,Chrome,Windows,12712
2016-08-08,Safari,iOS,6925
2016-08-08,Chrome,Macintosh,3271
2016-08-08,Chrome,Android,3083
2016-08-08,Firefox,Windows,3014
2016-08-08,Safari,Macintosh,2444
2016-08-08,Edge,Windows,701
2016-08-08,Firefox,Macintosh,589
2016-08-08,Chrome,iOS,390
2016-08-08,Chrome,Linux,376
2016-08-08,Safari (in-app),iOS,244
2016-08-08,Mozilla,Windows,138
2016-08-08,Chrome,Chrome OS,126
2016-08-09,Internet Explorer,Windows,13296
2016-08-09,Chrome,Windows,12929
2016-08-09,Safari,iOS,7062
2016-08-09,Chrome,Macintosh,3349
2016-08-09,Chrome,Android,3003
2016-08-09,Firefox,Windows,2970
2016-08-09,Safari,Macintosh,2298
2016-08-09,Edge,Windows,757
2016-08-09,Firefox,Macintosh,545
2016-08-09,Chrome,iOS,382
2016-08-09,Chrome,Linux,375
2016-08-09,Safari (in-app),iOS,241
2016-08-09,Chrome,Chrome OS,149
2016-08-09,Mozilla,Windows,124
2016-08-10,Chrome,Windows,11974
2016-08-10,Internet Explorer,Windows,11436
2016-08-10,Safari,iOS,5638
2016-08-10,Chrome,Macintosh,2958
2016-08-10,Firefox,Windows,2659
2016-08-10,Chrome,Android,2559
2016-08-10,Safari,Macintosh,2007
2016-08-10,Edge,Windows,625
2016-08-10,Firefox,Macintosh,508
2016-08-10,Chrome,Linux,386
2016-08-10,Chrome,iOS,351
2016-08-10,Safari (in-app),iOS,226
2016-08-10,Chrome,Chrome OS,163
2016-08-10,Mozilla,Windows,148
2016-08-11,Chrome,Windows,13358
2016-08-11,Internet Explorer,Windows,11630
2016-08-11,Safari,iOS,5583
2016-08-11,Chrome,Macintosh,3347
2016-08-11,Firefox,Windows,2711
2016-08-11,Chrome,Android,2536
2016-08-11,Safari,Macintosh,1996
2016-08-11,Edge,Windows,643
2016-08-11,Firefox,Macintosh,461
2016-08-11,Chrome,Linux,389
2016-08-11,Chrome,iOS,371
2016-08-11,Safari (in-app),iOS,257
2016-08-11,Chrome,Chrome OS,235
2016-08-11,Mozilla,Windows,117
2016-08-12,Chrome,Windows,11367
2016-08-12,Internet Explorer,Windows,10893
2016-08-12,Safari,iOS,5110
2016-08-12,Chrome,Macintosh,2965
2016-08-12,Firefox,Windows,2327
2016-08-12,Chrome,Android,2278
2016-08-12,Safari,Macintosh,1716
2016-08-12,Edge,Windows,505
2016-08-12,Firefox,Macintosh,440
2016-08-12,Chrome,Linux,361
2016-08-12,Chrome,iOS,293
2016-08-12,Chrome,Chrome OS,200
2016-08-12,Safari (in-app),iOS,165
2016-08-13,Safari,iOS,4192
2016-08-13,Chrome,Windows,4035
2016-08-13,Chrome,Android,1909
2016-08-13,Chrome,Macintosh,1833
2016-08-13,Internet Explorer,Windows,1776
2016-08-13,Safari,Macintosh,1037
2016-08-13,Firefox,Windows,711
2016-08-13,Chrome,Linux,354
2016-08-13,Edge,Windows,301
2016-08-13,Chrome,iOS,292
2016-08-13,Firefox,Macintosh,227
2016-08-13,Chrome,Chrome OS,142
2016-08-13,Safari (in-app),iOS,118
2016-08-14,Safari,iOS,4335
2016-08-14,Chrome,Windows,4287
2016-08-14,Chrome,Macintosh,2149
2016-08-14,Chrome,Android,1783
2016-08-14,Internet Explorer,Windows,1689
2016-08-14,Safari,Macintosh,1182
2016-08-14,Firefox,Windows,775
2016-08-14,Chrome,Linux,334
2016-08-14,Chrome,iOS,308
2016-08-14,Edge,Windows,283
2016-08-14,Firefox,Macintosh,223
2016-08-14,Chrome,Chrome OS,166
