date,os,visits
2016-08-06,Android,2629
2016-08-06,Chrome OS,160
2016-08-06,Linux,457
2016-08-06,Macintosh,3143
2016-08-06,Windows,7383
2016-08-06,iOS,6043
2016-08-07,Android,2718
2016-08-07,Chrome OS,173
2016-08-07,Linux,453
2016-08-07,Macintosh,3683
2016-08-07,Windows,8063
2016-08-07,iOS,5962
2016-08-08,Android,3324
2016-08-08,Chrome OS,126
2016-08-08,Linux,493
2016-08-08,Macintosh,6314
2016-08-08,Windows,29756
2016-08-08,iOS,7560
2016-08-09,Android,3202
2016-08-09,Chrome OS,149
2016-08-09,Linux,457
2016-08-09,Macintosh,6196
2016-08-09,Windows,30142
2016-08-09,iOS,7687
2016-08-10,Android,2719
2016-08-10,Chrome OS,163
2016-08-10,Linux,479
2016-08-10,Macintosh,5475
2016-08-10,Windows,26903
2016-08-10,iOS,6215
2016-08-11,Android,2681
2016-08-11,Chrome OS,235
2016-08-11,Linux,484
2016-08-11,Macintosh,5815
2016-08-11,Windows,28504
2016-08-11,iOS,6212
2016-08-12,Android,2429
2016-08-12,Chrome OS,200
2016-08-12,Linux,467
2016-08-12,Macintosh,5126
2016-08-12,Windows,25234
2016-08-12,iOS,5568
2016-08-13,Android,2071
2016-08-13,Chrome OS,142
2016-08-13,Linux,447
2016-08-13,Macintosh,3099
2016-08-13,Windows,6863
2016-08-13,iOS,4605
2016-08-14,Android,1940
2016-08-14,Chrome OS,166
2016-08-14,Linux,458
2016-08-14,Macintosh,3560
2016-08-14,Windows,7106
2016-08-14,iOS,4756
2016-08-15,Android,3009
2016-08-15,Chrome OS,217
2016-08-15,Linux,516
2016-08-15,Macintosh,6876
2016-08-15,Windows,29634
2016-08-15,iOS,7214
2016-08-16,Android,2727
2016-08-16,Chrome OS,199
2016-08-16,Linux,497
2016-08-16,Macintosh,6550
2016-08-16,Windows,28578
2016-08-16,iOS,6631
2016-08-17,Android,2628
2016-08-17,Chrome OS,243
2016-08-17,Linux,481
2016-08-17,Macintosh,6186
2016-08-17,Windows,27495
2016-08-17,iOS,6291
2016-08-18,Android,2855
2016-08-18,Chrome OS,281
2016-08-18,Linux,466
2016-08-18,Macintosh,6157
2016-08-18,Windows,26951
2016-08-18,iOS,6343
2016-08-19,Android,3066
2016-08-19,Chrome OS,247
2016-08-19,Linux,440
2016-08-19,Macintosh,4948
2016-08-19,Windows,25484
2016-08-19,iOS,6753
2016-08-20,Android,2866
2016-08-20,Chrome OS,184
2016-08-20,Linux,481
2016-08-20,Macintosh,3144
2016-08-20,Windows,7620
2016-08-20,iOS,6343
2016-08-21,Android,2674
2016-08-21,Chrome OS,199
2016-08-21,Linux,397
2016-08-21,Macintosh,4067
2016-08-21,Windows,8572
2016-08-21,iOS,6344
2016-08-22,Android,3220
2016-08-22,Chrome OS,314
2016-08-22,Linux,472
2016-08-22,Macintosh,7336
2016-08-22,Windows,32247
