date,pageviews
2016-08-02,104954
2016-08-03,95076
2016-08-04,96760
2016-08-05,88789
2016-08-06,40544
2016-08-07,43044
2016-08-08,106789
2016-08-09,108729
2016-08-10,96834
2016-08-11,98220
2016-08-12,86303
2016-08-13,37108
2016-08-14,38416
2016-08-15,106384
2016-08-16,103035
2016-08-17,96491
2016-08-18,94621
2016-08-19,88502
2016-08-20,40771
2016-08-21,44689
2016-08-22,110001
2016-08-23,119952
2016-08-24,109942
2016-08-25,111341
2016-08-26,101926
2016-08-27,44128
2016-08-28,48763
2016-08-29,126914
2016-08-30,130891
2016-08-31,142002
2016-09-01,110037
2016-09-02,95537
2016-09-03,41632
2016-09-04,38095
2016-09-05,45479
2016-09-06,110328
2016-09-07,107947
2016-09-08,101193
2016-09-09,93510
2016-09-10,39021
2016-09-11,41296
2016-09-12,105901
2016-09-13,104568
2016-09-14,100975
2016-09-15,96216
2016-09-16,85552
2016-09-17,40134
2016-09-18,43050
2016-09-19,112370
2016-09-20,104449
2016-09-21,99796
2016-09-22,103693
2016-09-23,94484
2016-09-24,39431
2016-09-25,39587
2016-09-26,105388
2016-09-27,104435
2016-09-28,102474
2016-09-29,97515
2016-09-30,87891
2016-10-01,39321
2016-10-02,44267
2016-10-03,110816
2016-10-04,111940
2016-10-05,104911
2016-10-06,107892
2016-10-07,93629
2016-10-08,39304
2016-10-09,40817
2016-10-10,75967
2016-10-11,106880
2016-10-12,116515
2016-10-13,106311
2016-10-14,97061
2016-10-15,51215
2016-10-16,59387
2016-10-17,125671
2016-10-18,116065
2016-10-19,106213
2016-10-20,105424
2016-10-21,99439
2016-10-22,40221
2016-10-23,45547
2016-10-24,120622
2016-10-25,116823
2016-10-26,109498
2016-10-27,107594
2016-10-28,96357
2016-10-29,44570
2016-10-30,51716
