page_title,event_label,page,total_events
"Affordable Rentals: 1009 Howard Street (Bill Sorro Community) | Mayor's Office of Housing and Community Development",/sites/default/files/Lottery%20Results%20for%20Posting%20-%20Bill%20Sorro%2010-26-2016_0.pdf,sfmohcd.org/affordable-rentals-1009-Howard-street-bill-sorro-community,505
"2016_AMI_IncomeLimits-SanFranHMFA.pdf | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/2016_AMI_IncomeLimits-SanFranHMFA.pdf,sfmohcd.org/file/861,430
"Affordable Rentals: 1009 Howard Street (Bill Sorro Community) | Mayor's Office of Housing and Community Development",/sites/default/files/Lottery%20Results%20for%20Posting%20-%20Bill%20Sorro%2010-26-2016_0.pdf,sfmohcd.org/affordable-rentals-1009-howard-street-bill-sorro-community,411
Department of Elections,/elections/sites/default/files/Documents/ElectionsArchives/2016/Nov/2016N_VIP_EN.pdf,sfgov.org/elections/,330
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7249_067466_fri.pdf,sfdhr.org/past-eligible-list-posting,304
2016 San Francisco Cruise Schedule in Excel Spreadsheet Format | Port of San Francisco,/sites/default/files/Cruises/Docs/2016%20San%20Francisco%20Cruise%20Schedule%202016-04-29a.xlsx,sfport.com/file/4481,301
District & Citywide Maps | Department of Elections,/elections/sites/default/files/SF_Neighborhoods_June_2014.pdf,sfgov.org/elections/district-citywide-maps,284
PPSD Home Page | Office of the Controller,/sites/default/files/Documents/payroll/CAL2017.pdf,sfcontroller.org/ppsd-home-page,283
District & Citywide Maps | Department of Elections,/elections/sites/default/files/Citywide_8-12.pdf,sfgov.org/elections/district-citywide-maps,281
"Affordable Housing Resources | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/ECS%20Listings.pdf,sfmohcd.org/affordable-housing-resources-0,275
How to Obtain Copies of Marriage Licenses | Office of the County Clerk,/countyclerk/sites/default/files/Documents/ACCCMC.pdf,sfgov.org/countyclerk/how-obtain-copies-marriage-licenses,275
Vote by Mail | Department of Elections,/elections/sites/default/files/Documents/Voting/2016/2016N_VBMInstructions_ENCH.pdf,sfgov.org/elections/vote-mail,272
"Affordable Housing Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/Universal%20Rent%20ShortForm%20PaperApp%20v8%20-%20English.pdf,sfmohcd.org/AFFORDABLE-RENTAL-APPLICATION,247
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_063470_wed_adm.pdf,sfdhr.org/eligible-list-postings,237
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_069491_wed.pdf,sfdhr.org/eligible-list-postings,236
Sugary Drinks Distributor Tax Ordinance Legal Text.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/Sugary%20Legal%20Text.pdf,sfgov.org/elections/file/3941,225
Benefits Overview | Department of Human Resources,/sites/default/files/documents/Classification%20and%20Compensation/Benefit%20Eligibility%20by%20Appt.%20and%20Schedule%20Type.pdf,sfdhr.org/benefits-overview,220
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1064_068236_mon.pdf,sfdhr.org/eligible-list-postings,215
"February 2016.pdf | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/February%202016.pdf,sfmohcd.org/file/27?documentid=6734,207
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/5601_901137_mon.pdf,sfdhr.org/eligible-list-postings,207
