page_title,event_label,page,total_events
"Affordable Rentals: 1009 Howard Street (Bill Sorro Community) | Mayor's Office of Housing and Community Development",/sites/default/files/Lottery%20Results%20for%20Posting%20-%20Bill%20Sorro%2010-26-2016_0.pdf,sfmohcd.org/affordable-rentals-1009-Howard-street-bill-sorro-community,339
"Affordable Rentals: 1009 Howard Street (Bill Sorro Community) | Mayor's Office of Housing and Community Development",/sites/default/files/Lottery%20Results%20for%20Posting%20-%20Bill%20Sorro%2010-26-2016_0.pdf,sfmohcd.org/affordable-rentals-1009-howard-street-bill-sorro-community,224
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_063470_wed_adm.pdf,sfdhr.org/eligible-list-postings,147
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_069491_wed.pdf,sfdhr.org/eligible-list-postings,143
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/9774_070129_wed.pdf,sfdhr.org/eligible-list-postings,113
"General Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/BMR%20Rental%20Applications/General%20BMR%20Rental%20Application/Universal%20Rent%20ShortForm%20PaperApp%20v9%20-%20English.pdf,sfmohcd.org/general-bmr-rental-application,97
"2016_AMI_IncomeLimits-SanFranHMFA.pdf | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/2016_AMI_IncomeLimits-SanFranHMFA.pdf,sfmohcd.org/file/861,76
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7322_901572_thurs.pdf,sfdhr.org/eligible-list-postings,63
District & Citywide Maps | Department of Elections,/elections/sites/default/files/Citywide_8-12.pdf,sfgov.org/elections/district-citywide-maps,62
"280 Brigthon Avenue BMR Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/BMR%20Rental%20Applications/Brighton%20BMR%20Rental%20Applications/Universal%20Rent%20ShortForm%20PaperApp%20v9%20-%20English%20for%20Brighton.pdf,sfmohcd.org/280-brigthon-avenue-bmr-rental-application,60
Department of Elections,/elections/sites/default/files/Documents/ElectionsArchives/2016/Nov/2016N_VIP_EN.pdf,sfgov.org/elections/,59
How to Obtain Copies of Marriage Licenses | Office of the County Clerk,/countyclerk/sites/default/files/Documents/ACCCMC.pdf,sfgov.org/countyclerk/how-obtain-copies-marriage-licenses,55
PPSD Home Page | Office of the Controller,/sites/default/files/Documents/payroll/CAL2017.pdf,sfcontroller.org/ppsd-home-page,54
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/9506_M00140_thurs.pdf,sfdhr.org/past-eligible-list-posting,46
Vote by Mail | Department of Elections,/elections/sites/default/files/Documents/Voting/2016/2016N_VBMInstructions_ENCH.pdf,sfgov.org/elections/vote-mail,46
Sugary Drinks Distributor Tax Ordinance Legal Text.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/Sugary%20Legal%20Text.pdf,sfgov.org/elections/file/3941,44
District & Citywide Maps | Department of Elections,/elections/sites/default/files/SF_Neighborhoods_June_2014.pdf,sfgov.org/elections/district-citywide-maps,42
Forms - Birth & Death Certificates | Office of the County Clerk,/countyclerk/sites/default/files/Documents/ACCBC.pdf,sfgov.org/countyclerk/forms-birth-death-certificates,42
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1053_069764_tues.pdf,sfdhr.org/eligible-list-postings,42
Forms - Marriage License | Office of the County Clerk,/countyclerk/ftp/uploadedfiles/countyclerk/Forms/MLPA.pdf,sfgov.org/countyclerk/forms-marriage-license,41
"Affordable Housing Resources | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/ECS%20Listings.pdf,sfmohcd.org/affordable-housing-resources-0,37
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7249_067466_fri.pdf,sfdhr.org/past-eligible-list-posting,37
School District Bond.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/201607111348.pdf,sfgov.org/elections/file/4171,36
Memoranda of Understandings & Labor Agreements | Department of Human Resources,/sites/default/files/documents/Employees/Employee%20Relations%20and%20MOUs/Local%2021%202014%20Final%20MOU%20with%20Amendment%201.pdf,sfdhr.org/memoranda-understanding,35
