landing_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
sfgov.org/,220016,318839,188808,1.449162788160861,61.58307123118318,220016
sfgov.org/sfc/employee-gateway,84506,131793,22841,1.5595697346933945,276.0810238326273,84506
sfdbi.org/,32556,58937,17650,1.81032682147684,141.01207150755621,32556
sftreasurer.org/,32006,124766,23184,3.898206586265075,307.2057426732488,32006
sfdhr.org/,25812,74071,12569,2.8696342786300946,218.26875096854175,25812
sfcontroller.org/CCSF-epayroll-–-online-paystubs,23888,77419,16092,3.240915941058272,468.70541694574683,23888
sfgov.org/elections/voting-november-8-2016-election,21747,31464,18053,1.446820251069113,66.466179243114,21747
sftreasurer.org/property-tax-payments,19370,46756,13969,2.4138358286009294,203.29901910170366,19370
sfgov.org/elections/,18870,41284,15720,2.1878113407525173,121.01642819289879,18870
sfgov.org/elections/local-ballot-measure-status,16275,39507,13982,2.4274654377880185,142.8895238095238,16275
sfcontroller.org/CCSF-EPAYROLL-–-online-paystubs,16147,39394,12092,2.439710162878553,306.9979562767077,16147
sfcontroller.org/ccsf-epayroll-–-online-paystubs,14768,23027,9354,1.5592497291440954,138.47020585048753,14768
(not set),13254,0,7021,0.0,67.58156028368795,0
sanfranciscopolice.org/,13116,44886,11516,3.422232387923147,181.7198078682525,13116
sf-planning.org/,11972,34685,6354,2.8971767457400603,253.17891747410624,11972
sfmohcd.org/affordable-rentals-alice-griffith-phase-1-2,11362,19765,7464,1.739570498151734,146.11899313501144,11362
sfgov.org/elections/department-elections,11095,25171,7307,2.268679585398828,179.4779630464173,11095
sfmohcd.org/,10995,46648,7288,4.242655752614825,315.9448840381992,10995
sfdhr.org/classification-and-compensation-database,10652,25988,4689,2.4397296282388283,201.6913255726624,10652
sfbos.org/,9809,36462,5867,3.717198491181568,199.22540524008565,9809
