domain,page,page_title,pageviews,visits,users,pageviews_per_session,avg_session_duration,exits
sfgov.org,sfgov.org/,SFGOV,252935,214672,188481,1.1782393605127823,59.91840575389431,193622
sfgov.org,sfgov.org/sfc/employee-gateway,Employee Gateway | SFGOV,120114,85023,22017,1.4127236159627394,262.0295919927549,78139
sfcontroller.org,sfcontroller.org/CCSF-epayroll-–-online-paystubs,CCSF ePayroll – Online Paystubs | Office of the Controller,75134,23803,16591,3.1564928790488596,452.55564424652357,23925
sftreasurer.org,sftreasurer.org/,Treasurer & Tax Collector,51129,29319,25343,1.7438862171288243,295.4394420000682,9502
sftreasurer.org,sftreasurer.org/property-tax-payments,Property Tax Payments | Treasurer & Tax Collector,45352,18992,19962,2.3879528222409436,187.56629106992418,21790
sfcontroller.org,sfcontroller.org/ccsf-epayroll-–-online-paystubs,CCSF ePayroll – Online Paystubs | Office of the Controller,43654,26318,17494,1.6587126681358766,158.72273729006764,26216
sfdbi.org,sfdbi.org/,Department of Building Inspection,39068,30857,18199,1.26609845415951,137.47315033865897,24903
sfdhr.org,sfdhr.org/classification-and-compensation-database,Classification & Compensation Database | Department of Human Resources,34435,9962,8137,3.4566352138124876,201.01806866091147,14508
sfdhr.org,sfdhr.org/,Department of Human Resources,34045,24263,13510,1.4031653134402176,214.95033590240283,12943
sfgov.org,sfgov.org/elections/voting-november-8-2016-election,"Voting in the November 8, 2016, Election | Department of Elections",26798,16729,16939,1.6018889353816725,66.84428238388428,18774
sfdhr.org,sfdhr.org/eligible-list-postings,| Department of Human Resources,24493,6266,7539,3.9088732843919565,241.55106926268752,8587
sfgov.org,sfgov.org/elections/,Department of Elections,24385,16494,15858,1.4784163938401844,123.18261185885777,11162
sfgov.org,sfgov.org/elections/local-ballot-measure-status,Local Ballot Measure Status | Department of Elections,21762,14178,12883,1.5349132458738892,147.07328255043024,10587
sfcontroller.org,sfcontroller.org/CCSF-EPAYROLL-–-online-paystubs,CCSF ePayroll – Online Paystubs | Office of the Controller,20772,7249,5901,2.86549868947441,392.02372741067734,7372
sftreasurer.org,sftreasurer.org/property-TAX-PAYMENTS,Property Tax Payments | Treasurer & Tax Collector,19567,3266,11127,5.991120636864666,200.71708511941213,9022
sanfranciscopolice.org,sanfranciscopolice.org/,Police Department,19119,12893,12958,1.4828976964244163,178.56107965562708,5429
sfmohcd.org,sfmohcd.org/current-listings-below-market-rate-ownership-units,"Current Listings: Below Market Rate Ownership Units | Mayor's Office of Housing and Community Development",16416,7249,6386,2.2645882190646986,233.78548765346943,5054
sfmohcd.org,sfmohcd.org/,"Mayor's Office of Housing and Community Development",16371,10240,8084,1.59873046875,303.90166015625,4593
sfdhr.org,sfdhr.org/past-eligible-list-posting,Past Eligible List Postings | Department of Human Resources,15678,2198,5509,7.132848043676069,150.05186533212012,4829
sfmohcd.org,sfmohcd.org/affordable-rentals-alice-griffith-phase-1-2,"Affordable Rentals: Alice Griffith Phase 1 & 2 | Mayor's Office of Housing and Community Development",15551,10665,8009,1.4581340834505392,144.58462259728083,9892
