source,has_social_referral,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
google,No,678886,1351926,508924,1.991388834060505,123.01968224414703,675273
(direct),No,320614,693046,213293,2.161621139438702,190.46322680856107,316339
bing,No,42855,101789,23909,2.3751954264379886,195.51849259129622,41852
sfgov.org,No,38543,95409,22037,2.4753911216044417,179.523700801702,38253
sfgov2.org,No,30313,55787,11359,1.8403655197440043,222.17751459769735,28391
yahoo,No,23037,58646,16409,2.5457307809176544,177.98181186786474,22904
sfelections.org,No,20629,42242,12341,2.0476998400310245,159.09239420233652,20448
dbiweb.sfgov.org,No,12398,24325,5060,1.9620100016131634,136.1039683819971,12336
citidex.sfgov.org,No,11380,32132,2728,2.8235500878734623,274.6872583479789,11349
sfcontroller.org,No,6560,11385,1613,1.735518292682927,286.965243902439,6270
jobaps.com,No,5903,15430,1437,2.6139251228189058,216.69557851939692,5835
sfdhr.org,No,5568,8937,1801,1.6050646551724137,168.9854525862069,5228
hsaintranet:8080,No,5108,8100,1778,1.5857478465152701,115.11413469068128,5021
m.facebook.com,Yes,4576,6218,4296,1.3588286713286712,44.22508741258741,4576
t.co,Yes,4149,6335,3314,1.5268739455290432,55.29067245119306,4139
publicrecords.netronline.com,No,3526,11990,2152,3.4004537719795804,151.8380601247873,3524
50.17.237.182,No,2843,6053,1537,2.1290889905029897,187.14773126978542,2817
311sem-prod.sfgov.org,No,2678,6448,607,2.407766990291262,178.95145631067962,2678
staffnet,No,2474,3830,804,1.5481002425222312,279.6248989490703,2364
10.183.251.207,No,2403,7314,615,3.0436953807740323,335.07865168539325,2382
