date,visits
2016-08-02,44868
2016-08-03,41217
2016-08-04,41929
2016-08-05,39427
2016-08-06,19865
2016-08-07,21126
2016-08-08,47659
2016-08-09,47909
2016-08-10,42026
2016-08-11,44010
2016-08-12,39115
2016-08-13,17300
2016-08-14,18062
2016-08-15,47540
2016-08-16,45263
2016-08-17,43432
2016-08-18,43120
2016-08-19,41000
2016-08-20,20704
2016-08-21,22320
2016-08-22,51110
2016-08-23,55533
2016-08-24,49306
2016-08-25,50683
2016-08-26,46176
2016-08-27,20937
2016-08-28,22549
2016-08-29,54312
2016-08-30,56373
2016-08-31,59402
2016-09-01,51895
2016-09-02,45819
2016-09-03,22101
2016-09-04,20259
2016-09-05,23079
2016-09-06,52811
2016-09-07,49831
2016-09-08,47009
2016-09-09,44482
2016-09-10,19449
2016-09-11,20531
2016-09-12,49654
2016-09-13,48199
2016-09-14,46931
2016-09-15,45183
2016-09-16,40043
2016-09-17,20924
2016-09-18,22670
2016-09-19,54098
2016-09-20,50204
2016-09-21,46756
2016-09-22,49219
2016-09-23,43646
2016-09-24,19509
2016-09-25,19461
2016-09-26,50567
2016-09-27,48702
2016-09-28,47502
2016-09-29,45876
2016-09-30,41033
2016-10-01,20354
2016-10-02,23439
2016-10-03,52952
2016-10-04,54842
2016-10-05,49391
2016-10-06,51602
2016-10-07,44395
2016-10-08,19632
2016-10-09,20738
2016-10-10,36585
2016-10-11,50406
2016-10-12,54281
2016-10-13,49441
2016-10-14,45723
2016-10-15,26768
2016-10-16,31908
2016-10-17,59457
2016-10-18,55214
2016-10-19,49651
2016-10-20,50247
2016-10-21,47623
2016-10-22,20101
2016-10-23,22860
2016-10-24,57380
2016-10-25,54606
2016-10-26,51317
2016-10-27,49752
2016-10-28,45177
2016-10-29,22760
2016-10-30,26741
