date,browser,os_version,visits
2016-08-06,Chrome,10,1964
2016-08-06,Chrome,7,1651
2016-08-06,Internet Explorer,7,1252
2016-08-06,Chrome,8.1,415
2016-08-06,Internet Explorer,8.1,411
2016-08-06,Firefox,7,361
2016-08-06,Edge,10,311
2016-08-06,Firefox,10,269
2016-08-06,Internet Explorer,10,146
2016-08-06,Chrome,Vista,115
2016-08-06,Firefox,8.1,106
2016-08-07,Chrome,10,2263
2016-08-07,Chrome,7,1892
2016-08-07,Internet Explorer,7,1277
2016-08-07,Chrome,8.1,418
2016-08-07,Internet Explorer,8.1,416
2016-08-07,Firefox,7,404
2016-08-07,Edge,10,395
2016-08-07,Firefox,10,299
2016-08-07,Internet Explorer,10,150
2016-08-07,Chrome,Vista,102
2016-08-08,Internet Explorer,7,11709
2016-08-08,Chrome,7,8185
2016-08-08,Chrome,10,3356
2016-08-08,Firefox,7,1967
2016-08-08,Internet Explorer,8.1,759
2016-08-08,Chrome,8.1,748
2016-08-08,Edge,10,701
2016-08-08,Firefox,10,655
2016-08-08,Internet Explorer,10,495
2016-08-08,Firefox,8.1,191
2016-08-08,Chrome,XP,183
2016-08-08,Firefox,XP,139
2016-08-08,Mozilla,8,130
2016-08-08,Chrome,8,127
2016-08-08,Chrome,Vista,112
2016-08-09,Internet Explorer,7,11992
2016-08-09,Chrome,7,8256
2016-08-09,Chrome,10,3402
2016-08-09,Firefox,7,2002
2016-08-09,Chrome,8.1,848
2016-08-09,Edge,10,757
2016-08-09,Internet Explorer,8.1,716
2016-08-09,Firefox,10,589
2016-08-09,Internet Explorer,10,432
2016-08-09,Firefox,8.1,205
2016-08-09,Chrome,XP,188
2016-08-09,Chrome,Vista,160
2016-08-09,Mozilla,8,116
2016-08-09,Firefox,XP,106
2016-08-10,Internet Explorer,7,10183
2016-08-10,Chrome,7,7696
2016-08-10,Chrome,10,3158
2016-08-10,Firefox,7,1759
2016-08-10,Chrome,8.1,694
2016-08-10,Internet Explorer,8.1,672
2016-08-10,Edge,10,625
2016-08-10,Firefox,10,543
2016-08-10,Internet Explorer,10,411
2016-08-10,Chrome,XP,184
2016-08-10,Firefox,8.1,182
2016-08-10,Mozilla,8,140
2016-08-10,Chrome,Vista,132
2016-08-10,Internet Explorer,Vista,110
2016-08-10,Chrome,8,105
2016-08-11,Internet Explorer,7,10400
2016-08-11,Chrome,7,8398
2016-08-11,Chrome,10,3669
2016-08-11,Firefox,7,1755
2016-08-11,Chrome,8.1,872
2016-08-11,Internet Explorer,8.1,674
2016-08-11,Edge,10,643
2016-08-11,Firefox,10,584
2016-08-11,Internet Explorer,10,412
2016-08-11,Chrome,XP,173
2016-08-11,Firefox,8.1,173
2016-08-11,Chrome,Vista,136
2016-08-11,Firefox,XP,116
2016-08-11,Mozilla,8,110
2016-08-11,Chrome,8,108
2016-08-12,Internet Explorer,7,9788
2016-08-12,Chrome,7,7098
2016-08-12,Chrome,10,3197
2016-08-12,Firefox,7,1616
2016-08-12,Chrome,8.1,692
2016-08-12,Internet Explorer,8.1,607
2016-08-12,Edge,10,505
2016-08-12,Firefox,10,389
2016-08-12,Internet Explorer,10,354
2016-08-12,Chrome,XP,160
2016-08-12,Firefox,8.1,157
2016-08-12,Chrome,8,116
2016-08-12,Firefox,XP,106
2016-08-12,Chrome,Vista,102
2016-08-13,Chrome,10,1928
2016-08-13,Chrome,7,1502
2016-08-13,Internet Explorer,7,1218
2016-08-13,Internet Explorer,8.1,391
2016-08-13,Chrome,8.1,368
2016-08-13,Firefox,7,311
2016-08-13,Edge,10,301
2016-08-13,Firefox,10,249
2016-08-13,Internet Explorer,10,129
2016-08-13,Chrome,XP,105
2016-08-14,Chrome,10,2046
2016-08-14,Chrome,7,1552
2016-08-14,Internet Explorer,7,1136
2016-08-14,Chrome,8.1,431
2016-08-14,Internet Explorer,8.1,389
2016-08-14,Firefox,7,347
2016-08-14,Edge,10,283
2016-08-14,Firefox,10,280
2016-08-14,Internet Explorer,10,137
2016-08-14,Chrome,XP,109
2016-08-15,Internet Explorer,7,10771
2016-08-15,Chrome,7,8731
2016-08-15,Chrome,10,3825
2016-08-15,Firefox,7,1902
2016-08-15,Chrome,8.1,805
2016-08-15,Internet Explorer,8.1,716
2016-08-15,Edge,10,659
2016-08-15,Firefox,10,636
2016-08-15,Internet Explorer,10,471
2016-08-15,Firefox,8.1,202
2016-08-15,Chrome,XP,173
2016-08-15,Chrome,Vista,131
2016-08-15,Mozilla,8,127
2016-08-15,Chrome,8,119
2016-08-15,Firefox,XP,106
2016-08-16,Internet Explorer,7,10354
2016-08-16,Chrome,7,8359
2016-08-16,Chrome,10,3614
2016-08-16,Firefox,7,1929
2016-08-16,Chrome,8.1,851
2016-08-16,Internet Explorer,8.1,667
2016-08-16,Firefox,10,624
2016-08-16,Edge,10,611
2016-08-16,Internet Explorer,10,459
2016-08-16,Chrome,XP,196
2016-08-16,Firefox,8.1,181
2016-08-16,Chrome,Vista,137
2016-08-16,Mozilla,8,120
2016-08-16,Firefox,XP,106
2016-08-16,Chrome,8,101
2016-08-17,Internet Explorer,7,9746
2016-08-17,Chrome,7,8174
2016-08-17,Chrome,10,3722
2016-08-17,Firefox,7,1723
2016-08-17,Chrome,8.1,744
2016-08-17,Internet Explorer,8.1,643
2016-08-17,Edge,10,616
2016-08-17,Firefox,10,564
2016-08-17,Internet Explorer,10,479
2016-08-17,Firefox,8.1,193
2016-08-17,Chrome,XP,169
2016-08-17,Chrome,Vista,118
2016-08-17,Internet Explorer,Vista,118
2016-08-17,Chrome,8,113
2016-08-17,Firefox,XP,112
2016-08-18,Internet Explorer,7,9599
2016-08-18,Chrome,7,7837
2016-08-18,Chrome,10,3581
2016-08-18,Firefox,7,1747
2016-08-18,Chrome,8.1,849
2016-08-18,Internet Explorer,8.1,660
2016-08-18,Edge,10,620
2016-08-18,Firefox,10,568
2016-08-18,Internet Explorer,10,401
2016-08-18,Firefox,8.1,192
2016-08-18,Chrome,XP,171
2016-08-18,Chrome,Vista,123
2016-08-18,Mozilla,8,106
2016-08-18,Chrome,8,105
2016-08-19,Internet Explorer,7,9576
2016-08-19,Chrome,7,7141
2016-08-19,Chrome,10,3236
2016-08-19,Firefox,7,1565
2016-08-19,Chrome,8.1,748
2016-08-19,Internet Explorer,8.1,679
2016-08-19,Edge,10,639
2016-08-19,Firefox,10,517
2016-08-19,Internet Explorer,10,382
2016-08-19,Chrome,XP,168
2016-08-19,Firefox,8.1,159
2016-08-19,Chrome,Vista,124
2016-08-19,Mozilla,8,121
2016-08-19,Chrome,8,103
2016-08-20,Chrome,10,2001
2016-08-20,Chrome,7,1668
2016-08-20,Internet Explorer,7,1358
2016-08-20,Firefox,7,424
2016-08-20,Internet Explorer,8.1,412
2016-08-20,Chrome,8.1,391
2016-08-20,Edge,10,367
2016-08-20,Firefox,10,322
2016-08-20,Internet Explorer,10,160
2016-08-20,Chrome,Vista,115
2016-08-20,Chrome,XP,103
2016-08-21,Chrome,10,2307
2016-08-21,Chrome,7,1879
2016-08-21,Internet Explorer,7,1442
2016-08-21,Chrome,8.1,489
2016-08-21,Edge,10,477
2016-08-21,Firefox,7,439
2016-08-21,Internet Explorer,8.1,421
2016-08-21,Firefox,10,330
2016-08-21,Internet Explorer,10,205
2016-08-21,Chrome,Vista,119
2016-08-22,Internet Explorer,7,12140
2016-08-22,Chrome,7,9038
2016-08-22,Chrome,10,4107
2016-08-22,Firefox,7,2067
2016-08-22,Chrome,8.1,978
2016-08-22,Edge,10,748
2016-08-22,Internet Explorer,8.1,745
2016-08-22,Firefox,10,662
2016-08-22,Internet Explorer,10,520
2016-08-22,Firefox,8.1,241
2016-08-22,Chrome,XP,210
2016-08-22,Chrome,Vista,155
2016-08-22,Firefox,XP,125
2016-08-22,Mozilla,8,125
2016-08-22,Chrome,8,102
2016-08-23,Internet Explorer,7,11869
2016-08-23,Chrome,7,9414
2016-08-23,Chrome,10,4178
2016-08-23,Firefox,7,2089
2016-08-23,Chrome,8.1,917
2016-08-23,Edge,10,788
2016-08-23,Firefox,10,708
2016-08-23,Internet Explorer,8.1,700
2016-08-23,Internet Explorer,10,494
2016-08-23,Firefox,8.1,180
2016-08-23,Chrome,XP,164
2016-08-23,Chrome,Vista,160
2016-08-23,Mozilla,8,122
2016-08-23,Chrome,8,110
2016-08-23,Firefox,XP,109
2016-08-24,Internet Explorer,7,10530
2016-08-24,Chrome,7,8681
2016-08-24,Chrome,10,3989
2016-08-24,Firefox,7,1881
2016-08-24,Chrome,8.1,960
