date,os_version,visits
2016-08-06,10,2704
2016-08-06,7,3279
2016-08-06,8,130
2016-08-06,8.1,938
2016-08-06,Vista,155
2016-08-06,XP,172
2016-08-07,10,3123
2016-08-07,7,3586
2016-08-07,8,108
2016-08-07,8.1,915
2016-08-07,Vista,158
2016-08-07,XP,158
2016-08-08,10,5225
2016-08-08,7,21888
2016-08-08,8,285
2016-08-08,8.1,1706
2016-08-08,Vista,247
2016-08-08,XP,378
2016-08-09,10,5197
2016-08-09,7,22287
2016-08-09,8,217
2016-08-09,8.1,1780
2016-08-09,Vista,291
2016-08-09,XP,351
2016-08-10,10,4754
2016-08-10,7,19674
2016-08-10,8,282
2016-08-10,8.1,1553
2016-08-10,Vista,301
2016-08-10,XP,321
2016-08-11,10,5321
2016-08-11,7,20586
2016-08-11,8,261
2016-08-11,8.1,1722
2016-08-11,Vista,275
2016-08-11,XP,317
2016-08-12,10,4453
2016-08-12,7,18531
2016-08-12,8,242
2016-08-12,8.1,1461
2016-08-12,Vista,222
2016-08-12,XP,308
2016-08-13,10,2610
2016-08-13,7,3036
2016-08-13,8.1,841
2016-08-13,Vista,102
2016-08-13,XP,170
2016-08-14,10,2760
2016-08-14,7,3047
2016-08-14,8.1,898
2016-08-14,Vista,133
2016-08-14,XP,165
2016-08-15,10,5600
2016-08-15,7,21436
2016-08-15,8,289
2016-08-15,8.1,1727
2016-08-15,Vista,229
2016-08-15,XP,339
2016-08-16,10,5323
2016-08-16,7,20672
2016-08-16,8,257
2016-08-16,8.1,1703
2016-08-16,Vista,263
2016-08-16,XP,345
2016-08-17,10,5404
2016-08-17,7,19660
2016-08-17,8,233
2016-08-17,8.1,1588
2016-08-17,Vista,277
2016-08-17,XP,313
2016-08-18,10,5190
2016-08-18,7,19205
2016-08-18,8,256
2016-08-18,8.1,1703
2016-08-18,Vista,255
2016-08-18,XP,327
2016-08-19,10,4790
2016-08-19,7,18313
2016-08-19,8,261
2016-08-19,8.1,1590
2016-08-19,Vista,234
2016-08-19,XP,289
2016-08-20,10,2855
2016-08-20,7,3461
2016-08-20,8,103
2016-08-20,8.1,878
